postcode,division,district,thana,suboffice,postcode_bn
1414,ঢাকা,নারায়ণগঞ্জ,বন্দর,মদনগঞ্জ,১৪১৪
1412,ঢাকা,নারায়ণগঞ্জ,বন্দর,নবীগঞ্জ,১৪১২
1421,ঢাকা,নারায়ণগঞ্জ,ফতুল্লা,ফতুল্লা বাজার,১৪২১
1420,ঢাকা,নারায়ণগঞ্জ,ফতুল্লা,ফতুল্লা,১৪২০
1400,ঢাকা,নারায়ণগঞ্জ,নারায়ণগঞ্জ সদর,নারায়ণগঞ্জ সদর,১৪০০
1462,ঢাকা,নারায়ণগঞ্জ,রূপগঞ্জ,ভুলতা,১৪৬২
1461,ঢাকা,নারায়ণগঞ্জ,রূপগঞ্জ,কাঞ্চন,১৪৬১
1464,ঢাকা,নারায়ণগঞ্জ,রূপগঞ্জ,মুরাপাড়া,১৪৬৪
1463,ঢাকা,নারায়ণগঞ্জ,রূপগঞ্জ,নগরি,১৪৬৩
1431,ঢাকা,নারায়ণগঞ্জ,সিদ্ধিরগঞ্জ,আদামজীনগর,১৪৩১
1432,ঢাকা,নারায়ণগঞ্জ,সিদ্ধিরগঞ্জ,LN মিলস,১৪৩২
1430,ঢাকা,নারায়ণগঞ্জ,সিদ্ধিরগঞ্জ,সিদ্ধিরগঞ্জ,১৪৩০
1640,ঢাকা,নরসিংদী,বেলাব,বেলাব,১৬৪০
1651,ঢাকা,নরসিংদী,মনোহরদি,হাতিরদিয়া,১৬৫১
1652,ঢাকা,নরসিংদী,মনোহরদি,কাটাবাড়িয়া,১৬৫২
1650,ঢাকা,নরসিংদী,মনোহরদি,মনোহরদি,১৬৫০
1605,ঢাকা,নরসিংদী,নরসিংদী সদর,করিমপুর,১৬০৫
1604,ঢাকা,নরসিংদী,নরসিংদী সদর,মাধবদী,১৬০৪
1602,ঢাকা,নরসিংদী,নরসিংদী সদর,নরসিংদী কলেজ,১৬০২
1600,ঢাকা,নরসিংদী,নরসিংদী সদর,নরসিংদী সদর,১৬০০
1603,ঢাকা,নরসিংদী,নরসিংদী সদর,পাঁচদোনা,১৬০৩
